"","Site","MaPP_region","Date","Year","Month","Salinity","Temperature","Latitude","Longitude","date_diff","group"
"197","Bonilla Island","North Coast",2019-07-16,2019,7,31.6,11.8,53.4928,-130.636,1,1
"198","Bonilla Island","North Coast",2019-07-17,2019,7,31.3,13.4,53.4928,-130.636,1,1
"199","Bonilla Island","North Coast",2019-07-18,2019,7,31.1,13.2,53.4928,-130.636,1,1
"200","Bonilla Island","North Coast",2019-07-19,2019,7,31.4,13.2,53.4928,-130.636,1,1
"201","Bonilla Island","North Coast",2019-07-20,2019,7,31.4,13.5,53.4928,-130.636,1,1
"202","Bonilla Island","North Coast",2019-07-21,2019,7,31.5,13.5,53.4928,-130.636,1,1
"203","Bonilla Island","North Coast",2019-07-22,2019,7,31.4,13.3,53.4928,-130.636,1,1
"204","Bonilla Island","North Coast",2019-07-23,2019,7,31.7,14.7,53.4928,-130.636,1,1
"205","Bonilla Island","North Coast",2019-07-24,2019,7,31.5,14.8,53.4928,-130.636,1,1
"206","Bonilla Island","North Coast",2019-07-25,2019,7,31.4,14.3,53.4928,-130.636,1,1
"207","Bonilla Island","North Coast",2019-07-26,2019,7,30.9,14.7,53.4928,-130.636,1,1
"208","Bonilla Island","North Coast",2019-07-27,2019,7,31.2,14.9,53.4928,-130.636,1,1
"209","Bonilla Island","North Coast",2019-07-28,2019,7,31.3,15.2,53.4928,-130.636,1,1
"210","Bonilla Island","North Coast",2019-07-29,2019,7,31.6,15.6,53.4928,-130.636,1,1
"211","Bonilla Island","North Coast",2019-07-30,2019,7,31.2,15.3,53.4928,-130.636,1,1
"212","Bonilla Island","North Coast",2019-07-31,2019,7,31.3,15.2,53.4928,-130.636,1,1
"213","Bonilla Island","North Coast",2019-08-01,2019,8,31.6,14.1,53.4928,-130.636,1,1
"214","Bonilla Island","North Coast",2019-08-02,2019,8,30.5,13.1,53.4928,-130.636,1,1
"215","Bonilla Island","North Coast",2019-08-03,2019,8,32.1,13.6,53.4928,-130.636,1,1
"216","Bonilla Island","North Coast",2019-08-04,2019,8,31.2,12.1,53.4928,-130.636,1,1
"217","Bonilla Island","North Coast",2019-08-05,2019,8,32,12,53.4928,-130.636,1,1
"218","Bonilla Island","North Coast",2019-08-06,2019,8,32,11.9,53.4928,-130.636,1,1
"219","Bonilla Island","North Coast",2019-08-07,2019,8,31.8,12.1,53.4928,-130.636,1,1
"220","Bonilla Island","North Coast",2019-08-08,2019,8,32.2,12.1,53.4928,-130.636,1,1
"221","Bonilla Island","North Coast",2019-08-09,2019,8,32.1,13.4,53.4928,-130.636,1,1
"222","Bonilla Island","North Coast",2019-08-10,2019,8,31.8,14.7,53.4928,-130.636,1,1
"223","Bonilla Island","North Coast",2019-08-11,2019,8,31.8,14,53.4928,-130.636,1,1
"224","Bonilla Island","North Coast",2019-08-12,2019,8,31.8,14.6,53.4928,-130.636,1,1
"225","Bonilla Island","North Coast",2019-08-13,2019,8,31.9,14.4,53.4928,-130.636,1,1
"226","Bonilla Island","North Coast",2019-08-14,2019,8,31.7,14.1,53.4928,-130.636,1,1
"227","Bonilla Island","North Coast",2019-08-15,2019,8,31.8,14.2,53.4928,-130.636,1,1
"228","Bonilla Island","North Coast",2019-08-16,2019,8,32,13.2,53.4928,-130.636,1,1
"229","Bonilla Island","North Coast",2019-08-17,2019,8,32.1,12.3,53.4928,-130.636,1,1
"230","Bonilla Island","North Coast",2019-08-18,2019,8,31.8,13.7,53.4928,-130.636,1,1
"231","Bonilla Island","North Coast",2019-08-19,2019,8,31.1,12.9,53.4928,-130.636,1,1
"232","Bonilla Island","North Coast",2019-08-20,2019,8,30.5,14.5,53.4928,-130.636,1,1
"233","Bonilla Island","North Coast",2019-08-21,2019,8,30.9,14.2,53.4928,-130.636,1,1
"234","Bonilla Island","North Coast",2019-08-22,2019,8,30.8,12.9,53.4928,-130.636,1,1
"235","Bonilla Island","North Coast",2019-08-23,2019,8,31.4,14.5,53.4928,-130.636,1,1
"236","Bonilla Island","North Coast",2019-08-24,2019,8,31.7,13.9,53.4928,-130.636,1,1
